# 626778 non-edge tracers in default, 13961 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
3062 73801 0.260887 211 1 211 34814525.881529 1.510051
69306 543729 0.261053 73 1 73 17121717.759823 1.272230
93994 723847 0.261115 173 1 173 28542880.720148 1.260112
93145 717994 0.261130 115 1 115 33291718.593130 1.462707
91116 704470 0.261281 105 1 105 17271729.751400 1.477896
60993 491943 0.261502 117 1 117 18670074.040107 1.382148
76984 607828 0.261511 41 1 41 16969761.922970 1.672976
88169 683784 0.261592 315 1 315 40844190.756960 1.342169
8122 136960 0.261607 158 1 158 25300201.715680 1.438765
85655 666379 0.261866 259 1 259 54017312.647028 1.661345
92465 713285 0.261961 190 1 190 32646505.134021 1.569343
75017 594423 0.262031 148 1 148 21837403.801320 1.620559
12741 187836 0.262261 109 1 109 12253365.524417 1.469079
22563 288789 0.262405 138 1 138 14276675.342821 1.594636
74579 591486 0.262417 11 1 11 18959741.861739 1.282819
16897 231671 0.262681 92 1 92 16585851.563057 1.374080
9187 148911 0.262981 115 1 115 19842567.002682 1.538805
15565 217809 0.263004 96 1 96 12240898.482756 1.212840
1432 37913 0.263048 93 1 93 22343537.792429 1.632853
75954 601016 0.263306 315 1 315 52154213.124598 1.352204
29939 361248 0.263324 235 1 235 31477793.400219 1.864656
54542 467636 0.263447 57 1 57 20949769.524755 1.962085
62968 499723 0.263471 43 1 43 29725616.040271 1.324419
18395 246798 0.263474 85 1 85 47887206.587897 1.169490
2104 56091 0.263747 78 1 78 13383163.641727 1.533601
77716 612462 0.263763 127 1 127 21463172.285736 1.349858
88589 686655 0.263864 93 1 93 11828544.471845 1.642740
99107 758997 0.263883 27 1 27 16144859.333066 1.352586
68956 539797 0.263916 46 1 46 14717961.260484 1.435332
34415 385327 0.263952 175 1 175 28584143.838013 1.449345
16907 231761 0.264033 145 1 145 25345686.593825 1.620114
70917 559637 0.264157 106 1 106 16473328.802765 1.934404
100676 771503 0.264410 150 1 150 30371563.718558 1.818259
62124 496281 0.264518 73 1 73 11899468.208998 1.370535
93846 722798 0.264710 83 1 83 39766669.045201 1.332681
63981 504194 0.264734 35 1 35 20903054.829485 1.025643
102873 791885 0.264746 140 1 140 23555146.281769 1.274003
87502 679377 0.264783 87 1 87 12745486.942492 1.558622
52676 460093 0.264848 112 1 112 13290661.202901 1.639985
45406 434072 0.265049 91 1 91 56609308.259503 1.057046
67160 522180 0.265070 14 1 14 26589343.750333 1.021778
