# 691293 non-edge tracers in default, 15288 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
77385 634893 0.192411 49 1 49 34858172.070298 1.600668
82228 667741 0.192736 153 1 153 70506897.668378 1.703975
75384 617405 0.193246 21 1 21 10266805.875355 2.116693
36514 420470 0.193260 60 1 60 35098034.166996 1.330348
56322 502809 0.193378 28 1 28 19664750.252936 2.223559
22293 299408 0.193894 46 1 46 27411082.759035 2.019124
26799 353579 0.193924 10 1 10 11982875.246324 1.187700
62470 526861 0.194076 55 1 55 32425441.098952 2.563663
46853 467742 0.194086 97 1 97 15143468.321730 2.141165
57171 506365 0.194089 28 1 28 27005909.145454 1.150773
72878 591808 0.195031 29 1 29 15925167.581748 1.470508
70986 570835 0.195496 18 1 18 25826750.695553 1.084902
38462 430709 0.195530 72 1 72 60257310.605129 1.987041
72785 590710 0.196599 29 1 29 12248429.906087 1.418045
71877 580177 0.196611 47 1 47 17540596.229495 1.199810
74932 613058 0.196735 30 1 30 17496998.900259 1.403630
24937 330506 0.196746 20 1 20 28454551.986986 1.284350
60851 520960 0.196786 96 1 96 62809708.140048 1.298133
25511 337314 0.196962 87 1 87 41578457.216605 1.452541
56239 502460 0.197493 37 1 37 20877506.801179 1.095940
74563 609592 0.197940 18 1 18 22819234.583189 1.449389
56178 502236 0.198093 80 1 80 44062754.187540 1.962961
66785 544454 0.198270 10 1 10 32082737.083152 1.307984
82287 668099 0.198429 77 1 77 41569191.717672 1.017559
24282 322293 0.198621 147 1 147 19587913.159571 1.748688
17734 252337 0.198870 30 1 30 15076980.261704 1.713552
79740 651517 0.200022 128 1 128 39144224.654272 1.618070
38271 429597 0.200620 14 1 14 12274233.382123 1.283589
32305 397819 0.200995 141 1 141 76960974.621572 1.714964
69450 558988 0.201386 82 1 82 102840946.479508 1.193463
697 20488 0.201669 202 1 202 28797000.049776 2.154424
70763 568710 0.201996 48 1 48 43446675.294370 1.350792
45709 463360 0.202005 36 1 36 23051332.771942 1.949165
49469 477063 0.202373 25 1 25 10156827.986358 2.769233
73098 594032 0.203479 53 1 53 33859494.618959 1.273780
27413 359939 0.203757 83 1 83 63049263.093136 1.352828
61753 524257 0.204126 40 1 40 24010474.015125 1.938514
34585 410189 0.204195 31 1 31 24995091.114491 1.556865
59770 516733 0.204227 91 1 91 70598767.735151 1.631090
51256 483382 0.204753 79 1 79 51854799.901084 1.504890
86494 696560 0.205330 15 1 15 17690448.184621 1.633415
106905 843400 0.205441 198 1 198 28201550.969148 1.679675
98197 777384 0.206530 135 1 135 18703100.670263 1.550883
96355 764886 0.206550 19 1 19 18089666.624854 1.337289
25254 334362 0.206563 47 1 47 22882011.324582 1.255713
28430 370030 0.206564 31 1 31 24119254.044039 1.519122
7603 141643 0.207465 30 1 30 24077192.432859 1.765829
29129 376224 0.208465 44 1 44 17113803.118403 1.210870
83444 675470 0.208583 23 1 23 16328354.999977 1.184532
111515 903264 0.208655 116 1 116 24213632.450302 1.808008
71425 575511 0.208726 14 1 14 14849927.759940 1.111706
60350 519051 0.208737 204 1 204 116370486.038125 1.362065
32890 401000 0.208870 37 1 37 29413983.310246 1.248196
68523 553095 0.209015 88 1 88 62931541.772433 1.525398
26784 353395 0.209216 202 1 202 26137955.427686 1.630733
70198 563949 0.209667 32 1 32 6720708.321950 1.899620
24078 319726 0.209964 27 1 27 18159763.622310 1.372286
24568 325812 0.210398 117 1 117 60730994.307509 1.331816
88100 708070 0.210598 64 1 64 29990850.202405 1.911323
97394 771910 0.210672 34 1 34 22437147.931039 1.680897
31795 394847 0.210735 96 1 96 49567808.573182 1.460047
79721 651418 0.211214 124 1 124 14948319.509388 1.996599
72158 583346 0.211559 12 1 12 12923004.299983 1.355623
64691 535641 0.211707 13 1 13 11242592.595904 1.174294
104340 821485 0.211783 141 1 141 22306748.404613 1.382982
33201 402734 0.211903 32 1 32 19981807.777213 2.038615
25198 333735 0.212128 43 1 43 30908100.469748 1.302809
48447 473554 0.212338 75 1 75 31241010.017061 1.770739
65394 538416 0.212433 18 1 18 19848114.988735 1.650967
83799 677900 0.212444 26 1 26 21512457.962896 1.023482
28061 366579 0.212679 137 1 137 90655006.647442 1.660239
89823 719660 0.212752 14 1 14 14165586.199213 1.549783
35050 412608 0.214368 5 1 5 6109482.297834 1.265355
30018 383201 0.214607 38 1 38 53878023.121226 1.158807
70681 567999 0.214715 14 1 14 7243290.993562 1.982571
76675 629183 0.214850 12 1 12 5830718.756442 1.775233
83553 676144 0.215113 48 1 48 39443826.183320 1.371312
27300 358691 0.215762 97 1 97 48612728.451079 1.748468
95634 759811 0.215823 32 1 32 26387287.785725 1.110317
18172 256920 0.215952 81 1 81 10745639.352280 2.152119
61940 524953 0.216131 53 1 53 42438595.835826 1.465991
90429 723714 0.216163 52 1 52 21816854.344984 1.589129
20009 275750 0.216184 79 1 79 36149386.747631 2.071716
47127 468757 0.216278 43 1 43 26509718.641798 1.653201
59197 514522 0.216329 37 1 37 16651591.229896 1.871641
87409 703072 0.216342 207 1 207 30488764.122990 1.577317
72912 592024 0.216503 21 1 21 14930837.918858 1.255097
76956 631428 0.216748 41 1 41 39539569.672299 1.710666
27153 357090 0.216897 16 1 16 11684130.306680 1.340451
16347 237681 0.217129 38 1 38 20446106.535921 1.572250
65697 539684 0.217939 7 1 7 5529677.065128 1.057207
9745 165567 0.218022 11 1 11 12472102.121777 1.278664
16675 240909 0.218234 164 1 164 25445704.918974 1.856292
99722 787617 0.219039 268 1 268 44333876.678430 1.558682
34541 409900 0.219116 19 1 19 13419577.026800 1.721698
31736 394411 0.219183 13 1 13 4199248.680430 2.029628
27456 360495 0.219523 23 1 23 31543017.504396 1.541146
73781 601094 0.219754 22 1 22 18797479.076526 1.590872
24737 327817 0.219942 31 1 31 8305663.204420 1.694995
17747 252476 0.220016 176 1 176 68591669.554589 1.755609
100343 791779 0.220925 115 1 115 16802122.313673 2.098634
25643 339048 0.221002 13 1 13 12063923.619868 1.315551
28292 368983 0.221207 50 1 50 7723516.854857 1.571536
30496 386552 0.221772 144 1 144 21793033.651593 1.839106
99290 784807 0.221895 159 1 159 24466121.562122 1.916562
67202 546367 0.221917 16 1 16 14968406.701550 1.005542
73237 595391 0.222325 173 1 173 25442974.753542 1.240354
71364 574804 0.222832 63 1 63 43277132.021068 1.231948
100085 790019 0.223028 37 1 37 31585352.132120 1.385994
57486 507689 0.223296 37 1 37 25193983.666182 1.652866
25456 336573 0.223358 127 1 127 17240533.985030 1.800781
86567 697023 0.223832 163 1 163 49526651.329301 2.135241
34976 412207 0.223927 22 1 22 14084590.722625 1.149989
48946 475303 0.224624 11 1 11 13624284.830860 1.590901
14069 213829 0.225358 113 1 113 69600755.761636 1.359129
73867 601976 0.225692 8 1 8 5776417.472361 1.203994
28993 375085 0.225804 94 1 94 47275561.676825 1.384947
20536 280978 0.226501 46 1 46 16938649.355140 1.886826
69487 559148 0.226804 54 1 54 27635297.595103 1.094676
68645 553828 0.227223 42 1 42 5054176.096383 1.643746
19296 268542 0.227326 91 1 91 43237664.067048 1.356914
28447 370191 0.227333 47 1 47 20932348.999286 2.305772
911 28142 0.227408 152 1 152 21418472.017914 1.865375
29444 378665 0.227501 20 1 20 9126528.393907 1.673231
87015 700236 0.227961 62 1 62 53682526.212791 1.265409
11009 179890 0.228201 154 1 154 63081274.282821 1.032771
18806 263354 0.228554 29 1 29 10303859.339322 1.117995
72816 591203 0.228804 60 1 60 10440041.697403 1.774602
73309 596210 0.229048 41 1 41 34732703.905182 1.628984
12953 202238 0.229409 55 1 55 33575284.397531 1.201850
61077 521678 0.229475 40 1 40 24906002.403752 1.691046
61627 523805 0.229718 18 1 18 8485234.716622 1.718813
10480 174015 0.229929 80 1 80 40995720.468768 1.759952
8236 148692 0.230044 58 1 58 48119353.430524 1.171033
15234 226187 0.230369 84 1 84 24066664.232413 1.510377
82861 671656 0.230713 64 1 64 46038336.020902 1.241473
20437 279935 0.230806 62 1 62 33014286.591942 1.424065
92917 740960 0.231072 23 1 23 11810200.814544 1.213263
86851 699084 0.231390 11 1 11 9770272.394667 1.284506
10832 177798 0.231409 48 1 48 23513515.652441 1.164125
2117 64683 0.231501 108 1 108 16190355.375531 1.237978
67520 547846 0.231589 37 1 37 37009320.604444 1.225990
46919 467956 0.231794 102 1 102 19009032.770406 1.853507
4933 109785 0.232226 244 1 244 34623292.525512 1.510479
80866 658988 0.232290 64 1 64 32011752.781931 1.227276
27751 363673 0.232342 50 1 50 24924038.559134 1.433462
24662 326800 0.233139 149 1 149 20739974.717563 1.637743
80551 656788 0.233343 127 1 127 59579256.956662 1.266442
25138 333138 0.233352 15 1 15 13026525.347735 1.173838
67872 549618 0.233383 30 1 30 30763367.574806 1.885239
34008 407154 0.233451 26 1 26 16917098.111764 2.115934
90926 727142 0.233601 57 1 57 24206295.130705 1.668412
17419 248823 0.233702 22 1 22 11401303.937855 1.910612
28540 371162 0.233759 23 1 23 11511508.771855 1.184206
110570 889505 0.233874 237 1 237 39500272.353618 1.796715
86033 693387 0.234148 75 1 75 37241214.030789 1.455810
58701 512519 0.234357 8 1 8 11200966.104839 1.008351
58972 513619 0.234518 11 1 11 7742409.599644 2.392117
29199 376860 0.235027 89 1 89 50414467.000584 1.309310
75018 613983 0.235041 111 1 111 14857862.303226 1.616998
24268 322172 0.235514 159 1 159 24694141.566261 1.668772
53702 492576 0.235536 143 1 143 66771195.244809 1.486556
5078 111753 0.235839 93 1 93 14165326.833497 1.813024
63666 531599 0.235876 217 1 217 40043575.274503 1.755462
45446 462385 0.235988 117 1 117 16530562.996314 1.937022
16475 239018 0.236075 75 1 75 39346273.959743 1.167910
71186 572824 0.236189 181 1 181 103118979.701646 1.366886
25561 338052 0.236345 52 1 52 25805984.374739 1.027463
24491 324801 0.236368 33 1 33 44461102.387542 1.051327
19761 273075 0.236453 71 1 71 46581127.035768 1.213949
67383 547222 0.236720 40 1 40 13402803.572929 1.468785
82151 667274 0.236776 114 1 114 18085622.567309 1.559758
6029 123463 0.236795 334 1 334 42152593.943333 1.703480
66822 544596 0.237201 167 1 167 23049541.100877 1.545096
70943 570385 0.237348 11 1 11 13341729.772225 2.362179
2546 74024 0.237396 79 1 79 12299284.356311 1.529842
101152 797717 0.237770 103 1 103 26744188.661769 1.696308
99333 785112 0.237941 189 1 189 31753837.466316 1.594317
42601 450889 0.238008 10 1 10 6462639.434529 1.390211
84959 685916 0.238671 157 1 157 23934575.416127 1.705530
91178 728988 0.238977 217 1 217 30715913.886898 1.386414
48533 473867 0.239069 19 1 19 4916159.408403 1.572744
76751 629800 0.239174 116 1 116 15036109.685193 1.480609
25692 339738 0.239447 67 1 67 55587618.587416 1.598975
96717 767305 0.239557 153 1 153 21620299.497443 1.773016
29370 378186 0.239558 21 1 21 12004090.338081 1.562786
31050 390413 0.239803 39 1 39 67066121.365556 1.080901
22734 304200 0.239822 53 1 53 41622464.070656 1.376140
46350 465827 0.239928 8 1 8 9130442.768595 1.107150
85057 686598 0.239936 44 1 44 28635186.557353 1.499472
19916 274810 0.240028 197 1 197 29553494.763800 1.806091
96968 768911 0.240040 101 1 101 17179753.677110 1.469217
84789 684646 0.240286 22 1 22 18993487.890980 1.353993
46432 466146 0.240392 67 1 67 37920257.364225 1.380347
108280 857951 0.240439 231 1 231 41958257.355206 1.500127
38855 432879 0.240571 146 1 146 24969615.258308 1.996974
95794 760782 0.240776 81 1 81 12696929.538714 1.529380
18695 262244 0.240967 7 1 7 5883141.345435 1.103021
91704 732640 0.240981 33 1 33 17730957.014212 1.545853
44767 459727 0.241007 94 1 94 54985361.156742 1.535654
68944 555681 0.241129 25 1 25 10544953.423172 1.381201
94762 754055 0.241195 118 1 118 19437975.886776 1.342791
24383 323463 0.241567 11 1 11 5803488.768968 1.028700
14522 218620 0.241784 182 1 182 23923654.754400 1.910393
80493 656405 0.241809 26 1 26 17046429.460965 1.021771
68432 552606 0.241814 65 1 65 52272958.863999 1.222535
13612 209074 0.241938 175 1 175 25230875.026576 1.181257
5636 118546 0.242234 199 1 199 26511919.837677 1.544753
55814 500759 0.242246 6 1 6 6550688.976051 1.155766
78387 642463 0.243075 33 1 33 13259582.507095 2.215958
23009 307441 0.243186 39 1 39 14081515.873807 1.536955
60848 520947 0.243241 46 1 46 24592647.666342 1.882189
5056 111537 0.243269 69 1 69 14313776.166132 1.648274
25874 342221 0.243370 109 1 109 45911059.121188 1.151382
51066 482646 0.243422 119 1 119 16244835.826718 1.623847
73612 599270 0.243637 33 1 33 20346796.768348 1.371903
75601 619560 0.243714 80 1 80 38707210.486345 2.244234
91473 731122 0.244147 41 1 41 7921223.490939 1.655419
94666 753427 0.244364 130 1 130 16243231.854527 1.852704
18891 264172 0.244726 43 1 43 24818807.745281 1.873178
45748 463507 0.244946 45 1 45 5952545.563413 1.670485
80410 655806 0.245142 25 1 25 24139696.157708 1.492421
29255 377324 0.245177 243 1 243 33376460.099976 1.417892
11179 181887 0.245286 45 1 45 34558331.651774 1.529524
106280 837785 0.245537 212 1 212 31365181.353596 1.512189
46237 465438 0.245619 23 1 23 12823774.731019 1.408667
70802 569083 0.246032 19 1 19 21691505.624606 1.271487
1170 37127 0.246073 150 1 150 21622074.104974 1.697661
24936 330502 0.246584 13 1 13 10554046.580412 1.024767
82291 668135 0.246607 77 1 77 30993639.965426 1.824396
89995 720804 0.246626 35 1 35 29418829.353887 1.359910
8457 151174 0.246689 148 1 148 22639726.206063 1.437840
24799 328567 0.246713 205 1 205 26500538.460534 1.793554
109329 871476 0.246790 97 1 97 13769140.583246 1.507917
10121 169682 0.246919 101 1 101 13079268.731167 1.387190
102818 809921 0.246943 123 1 123 17292731.335375 1.809435
20211 277664 0.246981 44 1 44 36989953.493413 1.162203
15912 233131 0.247025 36 1 36 29737678.549228 1.220265
17849 253356 0.247093 53 1 53 9098344.554886 1.668139
8503 151689 0.247136 18 1 18 13967929.047380 1.627560
71117 572033 0.247706 13 1 13 21663589.683068 1.046944
93995 748904 0.247737 54 1 54 7518631.590044 1.590516
6460 128531 0.247738 22 1 22 14483797.218384 1.510728
65176 537552 0.247852 203 1 203 24783196.149932 1.682785
30875 389207 0.247945 175 1 175 24394113.448864 1.567517
7889 144838 0.248176 98 1 98 16649205.747850 1.793135
58031 509913 0.248229 191 1 191 30674790.770085 1.823048
