# 42593 superclusters from default
# ClusterID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_max delta_avg lambda_c DensRatio Theta_eff(deg) EdgeFlag
34926 241.274396 -9.159517 1.339000 85.763226 12.593980 0.215534 267.176031 6.266799 1.743869 0
30300 132.314433 3.603890 1.008652 90.430623 12.390100 -0.126128 -170.183669 8.698647 2.239449 0
88993 74.010355 -6.579380 1.272493 65.895145 12.293600 0.339615 276.154286 11.538242 1.386173 1
123079 333.393112 -41.102399 1.710973 103.029216 12.259720 0.008130 13.515635 8.531476 1.796028 0
77754 84.095997 -10.181926 1.972389 139.428512 11.977250 0.323755 873.331390 8.797150 2.239222 1
132899 33.161153 -0.502967 1.542619 74.890205 11.940070 -0.135625 -135.338250 7.381657 1.390555 0
108183 8.550561 -30.045374 0.840719 64.237186 11.938300 -0.201015 -156.922813 11.122778 1.823963 1
27131 155.773577 57.510845 1.872742 113.120702 11.840160 -0.169931 -328.050652 8.859601 1.870682 0
141317 339.345854 -8.412558 1.801140 100.039359 11.626020 -0.136193 -215.987189 6.759777 1.691969 0
39620 124.427831 32.555239 0.948451 103.342515 11.613140 -0.068040 -113.660304 6.738527 2.678029 0
1561 157.750846 -10.339769 1.922612 116.958706 11.514410 -0.045824 -93.314417 5.028165 1.905492 0
14411 182.707131 40.233114 1.414119 93.509014 11.481140 -0.164240 -233.800101 10.119081 1.834784 0
61389 93.391202 -11.748831 0.855051 142.026332 11.456970 0.250688 696.504264 5.936484 3.980617 1
143415 1.087609 -0.567523 1.867248 102.421108 11.427270 -0.064718 -106.573384 5.623880 1.696591 0
84198 288.185694 35.529581 0.946000 61.522323 11.317640 0.673998 491.033020 5.004036 1.597373 0
6458 164.323721 34.531668 1.755348 85.424258 11.301200 -0.150270 -185.097750 8.974010 1.466726 0
19570 130.827195 33.132270 2.073497 80.628249 11.217440 0.086838 97.519147 10.110101 1.259701 1
16286 216.362612 42.014348 1.991952 117.656042 11.137720 -0.000496 -1.019879 6.583617 1.879208 0
109297 322.158043 -52.466722 2.077095 86.204915 11.097760 0.121170 151.442015 7.491829 1.345558 1
22588 162.089011 -20.219518 0.891265 49.799530 10.977070 0.287877 149.543333 8.228319 1.352262 1
94896 60.810153 14.184925 1.062556 122.336412 10.662590 -0.051379 -112.427789 7.046155 2.917473 1
50902 144.707558 -77.209088 1.234734 115.832541 10.648540 0.161887 324.595230 7.333288 2.486865 1
124349 50.755991 -11.322183 2.045943 109.738850 10.605660 0.078029 143.492834 7.611478 1.727088 1
63413 265.077772 77.025443 1.555604 83.901583 10.591750 -0.033947 -40.628905 7.977925 1.549777 0
135153 344.869151 30.998313 1.680239 86.343233 10.421460 0.089224 111.801329 7.089635 1.521557 1
136230 18.787277 -13.563854 1.463230 76.897316 10.393350 -0.317382 -330.399866 10.559556 1.476154 0
7951 142.437988 -5.757267 1.666551 75.519894 10.331600 -0.102184 -103.342680 8.832753 1.337390 0
107494 313.650917 -38.823397 1.609000 101.058070 10.146850 -0.107185 -172.762286 8.091155 1.828250 0
107302 40.526739 -10.191558 0.981203 92.901305 10.130060 -0.204457 -288.029384 8.805585 2.347671 1
39612 243.434509 -9.642017 1.055221 109.502113 10.103770 0.085696 157.049403 5.594561 2.624438 0
42911 110.487790 31.888800 1.348906 70.266699 10.033940 0.118656 106.927643 9.555122 1.421845 1
36581 133.786602 -31.939237 0.896219 174.089191 9.988790 -0.336713 -1295.669386 2.370233 4.707418 1
105213 55.983197 -35.141137 1.948528 71.351538 9.987190 -0.031812 -29.378592 2.944242 1.153734 1
44703 218.061663 75.520364 2.174500 84.384326 9.964560 -0.065941 -79.647625 9.979952 1.285061 0
55959 101.176382 60.257240 1.536626 45.076023 9.893840 0.824155 365.024234 11.507737 0.839002 0
