# 12629 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
64196 34.647078 -73.396 1.089 160.8396 -0.753 -0.281267 -124.965626 1.432240 3.770053 1
14596 124.858619 -0.861 1.692 183.6160 -0.752 -0.285527 -148.709995 1.316169 3.222189 1
42843 96.024049 -60.457 1.466 120.5947 -0.752 -0.251586 -79.118785 1.762277 2.312592 1
5080 150.468345 0.120 1.347 154.5555 -0.752 -0.216803 -91.826182 1.301964 3.129606 0
2864 148.963093 19.154 1.762 153.7275 -0.752 -0.294014 -123.728466 1.456382 2.633350 0
8412 134.922378 15.377 1.593 170.1037 -0.752 -0.315077 -149.717875 1.240268 3.095926 0
1257 148.471563 -4.129 1.882 171.1938 -0.752 -0.150299 -71.968176 1.539636 2.823409 1
9788 134.631130 18.320 1.597 211.2711 -0.751 -0.254877 -157.086453 1.238615 3.840350 0
86632 50.845984 -5.727 1.513 187.2884 -0.751 -0.213312 -113.769919 1.473575 3.519849 0
23513 119.738545 6.056 1.120 156.0917 -0.751 -0.223037 -95.594499 1.627834 3.586327 0
22808 113.086751 28.512 2.059 148.0873 -0.751 -0.232256 -93.451876 1.369689 2.322436 1
80964 20.472244 -53.430 1.464 175.1298 -0.750 -0.253152 -124.570016 1.605977 3.360360 0
104235 22.479251 -13.586 1.702 169.8339 -0.750 -0.156001 -73.987070 1.355072 2.969828 0
3979 200.093141 37.921 1.799 174.1249 -0.750 -0.145599 -71.152534 1.701295 2.946547 0
103916 347.937692 -0.110 1.382 178.8843 -0.750 -0.220960 -111.532136 1.485854 3.561938 0
47626 270.261403 39.805 1.318 157.8860 -0.750 -0.281033 -122.115091 1.593321 3.244297 0
8678 192.182591 44.011 1.528 142.2360 -0.750 -0.269852 -103.451560 1.437514 2.656322 0
66747 55.503776 -60.526 1.317 190.0009 -0.749 -0.162870 -88.378989 1.853266 3.906301 1
12479 222.403439 11.902 1.200 155.1528 -0.749 -0.179098 -76.208267 1.158593 3.396495 0
71733 61.144972 -35.099 1.600 197.9965 -0.749 -0.246381 -140.474227 1.129768 3.594482 0
100305 0.897925 -30.358 1.486 170.6443 -0.749 -0.284244 -135.581622 1.543261 3.243292 0
7924 136.615751 20.887 1.647 180.9610 -0.748 -0.223683 -114.481551 1.565136 3.228046 0
62119 70.784044 -54.501 1.438 189.3899 -0.748 -0.290151 -156.838058 1.071586 3.677060 0
733 179.300728 -3.961 1.608 144.4583 -0.748 -0.316305 -123.537101 1.695952 2.614479 0
27308 232.657418 60.545 1.214 167.3122 -0.748 -0.239451 -111.544725 1.632460 3.633407 0
28230 250.207467 36.308 1.390 142.7299 -0.748 -0.232205 -89.390063 1.353872 2.832632 0
93257 10.072202 -32.692 1.239 190.5474 -0.748 -0.274220 -149.314556 1.506113 4.082044 0
49057 272.381898 33.344 1.964 206.5749 -0.747 -0.202504 -121.486355 1.358995 3.325670 1
3106 148.728568 3.448 1.527 161.3038 -0.747 -0.234713 -104.643169 1.494433 3.013593 1
2254 158.068326 11.734 1.533 196.8479 -0.747 -0.257701 -145.906068 1.258804 3.668671 0
82687 8.061704 -55.252 1.641 213.1631 -0.747 -0.251267 -156.527188 1.252253 3.810404 0
104112 336.183766 -1.028 1.638 145.1011 -0.747 -0.016998 -6.674384 1.895993 2.597078 1
19061 221.823963 -11.843 0.879 131.4751 -0.747 -0.182735 -63.743119 2.236187 3.609434 0
8322 229.171585 8.917 1.726 176.5428 -0.746 -0.197276 -98.015471 1.440627 3.061633 1
25572 225.584336 51.490 0.966 173.3330 -0.746 -0.249972 -121.492469 1.671318 4.432213 0
39407 264.348465 42.138 1.148 167.0961 -0.746 -0.237450 -110.441277 1.403483 3.772439 0
3783 159.063923 35.593 1.788 165.5073 -0.745 -0.159026 -73.122299 1.501684 2.811658 0
9496 140.482846 -1.882 1.241 161.7812 -0.744 -0.243185 -108.805425 1.282623 3.460493 0
7663 145.671004 -16.853 1.338 173.8994 -0.744 -0.202162 -98.640938 1.595548 3.537055 0
90343 328.870528 -10.919 1.111 188.4150 -0.744 -0.239503 -128.661958 1.837110 4.351565 0
97361 31.705031 36.833 2.051 159.7107 -0.744 -0.191263 -84.262031 1.576357 2.510442 1
69764 36.395686 -68.835 1.751 162.5174 -0.744 -0.231382 -104.090192 1.356854 2.794118 0
25011 241.531762 41.420 1.416 163.6432 -0.744 -0.303404 -137.625471 1.630923 3.208426 0
1181 190.027471 -6.574 1.502 165.9125 -0.743 -0.271027 -124.987916 1.563963 3.132484 0
86428 19.807062 9.202 0.862 146.4988 -0.743 -0.276228 -109.715717 1.534201 4.079235 0
95317 355.872026 -5.187 1.061 168.3343 -0.743 -0.201904 -94.743905 1.425239 4.018890 0
98988 28.881163 -23.527 1.641 176.6212 -0.743 -0.222954 -110.832585 1.431052 3.157327 0
73080 57.820814 -28.193 1.418 191.9589 -0.743 -0.257639 -141.534205 1.585454 3.759099 0
68307 61.083021 -42.494 1.002 177.6960 -0.742 -0.271358 -135.880158 1.559429 4.422302 0
72595 60.351618 -35.340 1.591 134.4430 -0.742 -0.304140 -108.973163 1.101291 2.449270 0
71722 58.112912 -45.854 1.643 170.0362 -0.741 -0.248245 -117.904215 1.729708 3.037581 0
10206 137.008001 30.742 1.667 197.5921 -0.741 -0.200088 -113.800477 1.481227 3.498214 0
68421 38.175303 -68.880 1.599 152.5468 -0.741 -0.147242 -61.392538 1.586133 2.769848 0
26677 245.464132 41.153 1.279 152.3618 -0.741 -0.295726 -123.123462 1.513864 3.194659 0
10063 139.075286 18.211 1.339 147.1880 -0.740 -0.203819 -81.412525 1.539040 2.992911 0
68530 56.828669 -52.918 1.216 181.3476 -0.740 -0.249679 -128.114053 1.414444 3.933895 0
9787 133.821234 -7.359 1.539 120.2997 -0.740 -0.222071 -69.632121 1.552003 2.236900 0
23157 145.609143 51.629 0.999 149.1932 -0.739 -0.280393 -113.832642 1.425404 3.719828 0
100580 333.152547 -13.844 1.449 174.7919 -0.739 -0.216498 -106.287010 1.484090 3.377058 0
30570 253.886624 42.771 1.514 170.2237 -0.739 -0.262521 -124.849906 1.554282 3.197605 0
5312 207.719824 28.038 1.580 150.2145 -0.739 -0.285198 -116.734856 1.376108 2.748041 0
55425 83.726192 -18.887 1.815 163.0164 -0.739 -0.183289 -82.758936 1.575061 2.745217 1
14558 135.042452 2.334 1.196 158.8228 -0.739 -0.189963 -83.131224 1.177787 3.485331 0
90492 355.925515 -41.640 1.415 125.1568 -0.739 -0.255034 -83.857744 1.349820 2.455004 0
1802 191.893674 -3.989 1.394 173.5172 -0.738 -0.251312 -122.299481 1.534881 3.436295 0
15891 202.923008 52.034 1.509 145.7591 -0.738 -0.319329 -126.066906 1.370729 2.744196 0
85047 356.401731 -50.432 1.534 180.5886 -0.738 -0.292765 -149.467940 1.193665 3.365276 0
92029 20.374897 8.973 1.000 136.4140 -0.738 -0.341020 -124.340035 1.602326 3.399329 0
105669 358.455957 -11.771 1.574 155.8740 -0.738 -0.346178 -148.124796 1.346219 2.858559 0
89951 8.863448 32.574 1.141 167.1532 -0.737 -0.234534 -109.129568 1.348058 3.789922 0
21235 208.437468 57.527 1.287 194.9209 -0.737 -0.290091 -162.317060 1.405952 4.070234 0
76572 354.603206 -46.624 0.974 154.5164 -0.737 -0.242640 -102.738117 1.376440 3.927014 0
889 166.381401 -10.996 1.696 167.9870 -0.737 -0.221660 -103.757344 1.534259 2.943504 0
59686 72.488039 -54.494 1.441 135.4082 -0.737 -0.233530 -84.394812 1.025331 2.625111 0
5866 151.563931 31.126 1.614 142.9359 -0.737 -0.324974 -125.319433 1.242613 2.581295 0
28029 128.036914 65.855 1.355 132.1195 -0.737 -0.274274 -96.237786 1.590851 2.666007 0
10728 200.136937 -31.695 1.173 198.4347 -0.736 -0.156604 -89.524835 1.767633 4.412433 1
2192 183.289955 -20.820 1.457 169.5690 -0.736 -0.238007 -112.669248 1.486316 3.263615 0
2743 184.637327 34.507 1.714 169.8004 -0.736 -0.194910 -92.418816 1.479301 2.957200 0
2494 191.509025 27.037 1.504 160.8754 -0.736 -0.261571 -116.245772 1.354546 3.034720 0
26582 252.749898 21.958 1.457 175.1161 -0.736 -0.102046 -50.209446 1.747663 3.370838 0
13022 160.472677 52.240 1.663 161.4354 -0.736 -0.238434 -106.406289 1.550029 2.862492 0
97983 327.103258 -4.013 1.476 183.2628 -0.736 -0.250199 -130.009400 1.615234 3.498005 1
26339 215.475407 68.295 1.525 146.9768 -0.736 -0.271004 -108.062193 1.044467 2.748737 0
82671 46.051128 -27.534 1.346 178.2722 -0.736 -0.284004 -142.766145 1.107173 3.611914 0
9875 149.188929 35.681 1.413 174.0320 -0.735 -0.276586 -135.078227 1.114484 3.416951 0
82758 14.690309 -58.263 1.854 193.8286 -0.735 -0.232826 -129.399852 1.296256 3.223721 0
81100 45.541361 -46.185 1.850 215.1986 -0.735 -0.192327 -121.184472 1.571296 3.583989 0
9248 148.775306 36.501 1.492 135.7046 -0.735 -0.258947 -93.826057 1.114056 2.573257 0
1603 206.416649 0.130 1.613 173.2253 -0.735 -0.228339 -110.895540 1.516105 3.128707 0
105670 9.772208 5.770 1.628 168.1383 -0.735 -0.248642 -116.512845 1.763656 3.020011 0
4719 169.796487 29.999 1.396 169.5340 -0.735 -0.325504 -154.050911 1.223342 3.354306 0
19913 131.575065 -2.672 0.903 175.5280 -0.735 -0.213679 -105.433324 1.588744 4.720244 1
98077 325.075572 -7.197 1.547 140.3110 -0.735 -0.219412 -82.750585 1.895916 2.600745 0
20859 183.293826 62.231 1.356 231.0811 -0.734 -0.228129 -156.566049 1.338717 4.660364 0
26708 248.924746 40.440 1.445 166.7309 -0.734 -0.254995 -118.291003 1.457227 3.226149 0
6950 214.381061 -8.739 1.306 181.1266 -0.734 -0.163143 -83.588841 1.467847 3.743647 1
14166 149.781635 -0.145 0.928 138.3972 -0.734 -0.238259 -88.389776 1.365700 3.646237 0
6583 185.491631 45.754 1.739 184.1034 -0.734 -0.276924 -144.688940 1.300865 3.178908 0
3273 138.858494 -8.396 1.886 222.9430 -0.734 -0.153401 -100.846328 1.591602 3.672122 1
24056 242.578642 41.900 1.712 182.3219 -0.734 -0.263006 -135.822856 1.509285 3.177573 0
489 177.041242 -4.936 1.781 170.7735 -0.734 -0.219450 -104.770798 1.406693 2.907024 0
21022 181.761373 55.488 1.104 165.8661 -0.733 -0.193940 -89.408191 1.602878 3.850094 0
18658 135.413507 -12.147 0.943 164.6441 -0.733 -0.186715 -85.316846 1.432690 4.283702 0
5805 186.215186 46.150 1.917 214.7651 -0.733 -0.193545 -121.657542 1.181131 3.504929 0
89101 317.426074 -25.223 1.563 190.6497 -0.733 -0.177708 -96.825899 1.243038 3.511779 1
16850 194.317258 39.840 0.924 122.9577 -0.733 -0.226050 -72.763155 1.462904 3.249149 1
89625 18.581487 19.138 1.053 137.3772 -0.733 -0.244726 -89.986604 1.425118 3.298499 0
97063 25.257301 -7.611 1.276 179.3881 -0.733 -0.267219 -135.338060 1.591837 3.767425 0
