# 41491 superclusters from default
# ClusterID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_max delta_avg lambda_c DensRatio Theta_eff(deg) EdgeFlag
18916 208.514530 -43.871768 1.626052 113.307289 8.122269 -0.214645 -415.464818 7.174997 2.036701 1
126816 357.294363 10.455226 1.074966 68.336877 8.018962 0.090714 78.185258 8.729267 1.616191 1
92127 341.599909 -64.578242 1.077170 89.250307 8.004960 0.121734 160.837252 5.398949 2.107711 0
31511 223.700606 42.782017 1.321173 84.957441 7.958520 -0.188330 -229.954413 5.467103 1.742877 0
25818 236.823842 -6.139792 1.626052 52.799313 7.892272 0.665735 379.757549 2.936770 0.949069 1
14009 210.163665 -9.780461 1.204558 88.028338 7.869010 -0.191840 -247.933398 6.656730 1.922180 0
36303 120.016973 43.335035 1.807580 97.203642 7.856432 0.075286 114.027335 4.718081 1.640601 0
141146 358.139546 17.097118 1.878799 96.620679 7.841887 -0.226823 -340.250772 7.788962 1.594876 1
12944 195.776819 47.945606 1.947246 87.446588 7.832495 -0.049709 -63.566001 6.086433 1.414508 0
14971 168.653609 -28.592290 1.152638 97.335477 7.796372 -0.065153 -98.893049 5.954066 2.191274 0
141397 12.996876 -21.563193 2.115921 71.883136 7.739311 0.215482 201.378561 5.439582 1.110814 1
12407 172.343651 -15.872320 1.073250 93.713284 7.736340 -0.156069 -222.945876 6.086342 2.218885 0
140952 335.346447 15.277404 2.155631 62.794893 7.732665 0.318303 239.618240 11.888586 0.960737 0
88179 349.201873 -68.611446 0.866664 78.771478 7.701391 0.106571 115.300295 2.953847 2.185056 0
125367 341.875296 -2.866748 1.094597 82.468765 7.698549 0.033334 38.810712 4.982742 1.925410 0
89564 9.550106 -77.003537 2.070193 100.267322 7.697072 -0.130370 -207.507586 7.250320 1.567895 1
116553 350.756045 -37.460975 1.180351 91.023973 7.695795 0.039648 54.059027 4.417184 2.015618 0
1054 171.864771 -6.937034 1.793237 61.326280 7.671576 0.255787 185.401114 5.728185 1.039873 0
36570 201.164496 64.477308 1.502601 84.856948 7.666358 -0.271914 -331.384343 4.760124 1.601779 0
84870 289.504592 -30.892617 0.894642 123.063276 7.615747 0.078339 173.054730 3.825837 3.332106 1
70108 87.407076 -20.005266 1.750978 90.273247 7.612513 0.051859 69.778666 5.881744 1.552260 1
3615 150.273310 21.793751 1.998192 90.242168 7.600038 0.116038 156.046399 4.593800 1.438853 0
141872 350.406606 2.194452 1.924131 139.641291 7.591625 0.014581 39.428114 4.573343 2.274024 1
4485 170.489216 -31.723994 1.758565 110.916051 7.590587 0.021412 40.053569 3.488285 1.902367 1
14398 135.048302 27.528547 1.939616 98.270087 7.590335 0.009831 15.151324 4.928355 1.593095 1
17031 223.543692 39.238517 2.150716 102.315595 7.589815 -0.004606 -7.573058 7.005710 1.567298 1
35604 240.986061 11.991635 1.250018 87.292233 7.567865 -0.233476 -297.716108 6.421249 1.858520 0
80726 343.027650 80.674798 1.501014 84.436927 7.554964 0.126764 153.267299 2.687451 1.594912 1
48188 250.944961 60.404729 1.905930 106.637558 7.542099 0.036581 64.255748 4.996875 1.745925 1
88955 354.841948 -75.377120 1.551386 99.891397 7.527591 -0.157085 -248.531145 6.303100 1.848246 1
126443 353.670345 -22.753526 1.176690 68.271781 7.522259 0.382573 329.231083 2.265124 1.515054 0
19052 129.344134 28.758826 2.029059 107.686823 7.519460 -0.087841 -156.732615 5.510584 1.702523 1
128546 19.849071 -37.054269 1.687360 68.338208 7.513171 -0.105513 -90.942967 5.861433 1.201218 0
30158 118.431062 17.763772 1.820605 121.419967 7.482344 -0.147735 -319.409787 4.053618 2.040807 0
45631 110.362422 27.690795 0.931908 66.652649 7.479498 -0.067115 -55.581016 11.329304 1.750085 0
7545 225.582428 10.583914 2.145148 56.899346 7.478455 0.443546 285.174562 6.320900 0.872810 1
42175 253.960846 -6.245205 1.568374 195.496689 7.465017 -0.182880 -847.205150 4.016390 3.592841 0
34791 223.434537 30.569762 0.890945 81.873703 7.427101 -0.194825 -224.221212 6.100404 2.223813 1
38748 242.171448 -13.012827 1.046550 143.354157 7.425537 0.124967 352.413333 4.011340 3.456260 0
83398 53.842985 -62.393370 0.847118 91.620622 7.418580 -0.111179 -153.183232 5.521512 2.586343 1
8088 146.337849 33.104520 2.040737 96.523557 7.376190 0.115573 173.089182 4.613383 1.521228 0
5045 156.618480 -4.896489 1.481136 105.645523 7.356982 -0.250606 -433.664043 8.784801 2.012404 0
84057 19.804281 -79.588757 1.802578 101.323437 7.356623 0.160677 260.070095 4.254727 1.712891 0
81130 284.395095 -37.501551 1.089055 142.667573 7.345359 0.408909 1144.318098 3.168332 3.342928 1
137798 344.003242 -31.908659 2.008819 111.092508 7.318781 -0.165336 -310.073028 7.205913 1.766105 0
108358 29.841709 38.215474 1.175765 105.113451 7.295767 -0.132119 -226.786839 4.928155 2.333898 0
15736 151.864658 -9.746566 1.111844 74.626137 7.295484 -0.204404 -202.822329 7.477164 1.723103 0
68940 85.969514 61.034710 1.575144 97.365235 7.293218 -0.093943 -142.662237 3.874461 1.784622 1
18300 178.392303 -10.725138 0.875907 96.219616 7.281225 -0.139200 -207.424348 5.847336 2.647521 0
108515 50.901514 -37.990165 1.953411 111.965347 7.263307 -0.110505 -209.854058 4.818481 1.807908 1
46651 106.298423 -38.179262 1.356300 133.955495 7.232274 -0.151564 -383.470874 2.317876 2.700861 1
17694 216.478522 -20.947012 1.297407 82.327417 7.227595 0.059587 69.186581 6.124909 1.709464 1
92595 312.240938 -56.058977 1.277450 93.133888 7.225218 -0.033255 -47.035241 4.289010 1.954050 0
98146 17.833844 -61.499449 1.476802 121.097960 7.218987 -0.167949 -361.572516 4.866117 2.311043 0
37281 114.607576 -6.475928 1.350135 122.867859 7.210411 -0.475745 -1048.275156 6.440846 2.484739 1
44788 115.455632 53.002671 1.296846 111.401584 7.186213 -0.290602 -547.425399 6.824279 2.313834 0
99377 40.643779 -54.322241 1.645077 110.804688 7.175712 -0.116597 -217.761046 5.342732 1.977690 0
124802 341.913147 3.737450 1.082690 98.357520 7.169224 -0.159319 -245.901157 7.118568 2.314322 1
43184 124.405923 48.746337 0.908730 87.412949 7.158907 -0.148502 -189.781904 5.899537 2.339032 0
53808 214.070956 -81.668972 1.446219 82.835270 7.158287 0.394246 462.287384 3.639327 1.602060 1
88282 296.675117 -63.011783 2.062602 85.809728 7.145673 0.295705 366.873529 8.580336 1.344510 0
26291 233.698053 31.019993 1.792357 91.920799 7.124194 -0.073661 -102.023777 6.307087 1.559093 0
37043 239.536047 32.464462 1.308580 85.556335 7.112602 0.025667 31.694428 3.442491 1.766376 0
10295 218.262007 -9.804458 1.566780 90.715188 7.076093 0.161695 219.272566 4.416784 1.668214 1
38391 237.443199 27.599983 1.008812 92.372937 7.054609 -0.183504 -256.163647 4.925813 2.287283 0
98302 57.667063 17.646478 1.250160 137.520818 7.047184 0.134324 354.441063 3.788374 2.927701 0
71698 85.034581 -28.058651 1.113928 82.960042 7.046129 -0.138282 -162.538856 5.778655 1.912998 0
129151 334.347074 -8.360944 1.305415 95.674443 7.044024 -0.223199 -329.583115 7.511608 1.978461 0
102778 329.425737 -50.369394 1.353592 73.816580 7.027518 -0.045835 -44.693287 6.907557 1.490273 0
48141 101.854493 -22.899394 1.469621 87.259440 7.004795 -0.273341 -348.341018 8.223259 1.670429 1
24683 212.009969 12.891961 0.916774 88.261387 7.003958 -0.175482 -227.754098 4.429133 2.346110 0
38889 172.512606 71.848118 1.880591 75.114543 6.996381 0.337363 338.263600 3.382117 1.239210 0
40844 252.454014 32.159333 2.093042 90.792410 6.978933 0.121713 165.279088 7.624397 1.411290 0
39536 239.277450 -5.227413 0.841863 85.639867 6.967154 0.119285 147.525570 5.171394 2.429127 1
1837 166.995510 -16.512983 1.790745 90.226377 6.937757 -0.027938 -37.560000 3.230544 1.531157 0
43362 254.058739 -2.880722 1.379391 115.324923 6.930270 0.277881 553.267866 3.168429 2.299669 1
110935 320.953138 -37.836460 1.479507 91.135023 6.912606 0.084180 115.001945 4.638165 1.737210 0
54488 262.805923 20.777437 1.345114 88.257846 6.893116 -0.104822 -136.037598 7.480068 1.789209 0
53947 263.438719 5.363346 1.535445 119.226012 6.889038 0.229801 482.553923 3.714254 2.220225 0
125403 39.534576 -32.086257 1.971671 111.757636 6.885922 -0.021249 -40.232271 6.513255 1.795193 1
101157 331.474574 -42.688171 1.009669 73.150866 6.882246 -0.110397 -106.097829 5.488149 1.810196 0
28782 122.022437 14.796472 1.578275 72.534492 6.864086 -0.057828 -54.828908 3.458196 1.327866 0
2033 161.152431 -25.311422 2.052858 78.255593 6.863162 0.213348 228.408463 3.928009 1.229326 1
9808 209.789787 18.950459 1.451149 104.139713 6.856017 -0.173437 -293.310851 5.710960 2.009715 0
130848 331.978460 -38.141271 2.067720 118.757024 6.843355 -0.010244 -21.375109 3.210514 1.858231 1
141913 8.884297 -3.142821 1.929632 89.244707 6.841940 0.064570 85.303151 3.441393 1.450989 0
60863 94.101763 -37.945806 0.889816 55.839429 6.828491 -0.120718 -75.314534 6.069937 1.518142 1
125955 328.734771 27.064642 1.542135 71.333516 6.818582 0.144767 133.641109 3.209317 1.324774 1
74667 278.530628 -40.170729 1.117019 127.770241 6.800612 -0.259999 -609.901424 5.897612 2.940527 0
136196 354.752667 11.143370 1.389767 70.006250 6.740416 -0.020688 -18.532638 5.074430 1.389180 1
128938 33.225774 -4.317789 1.438851 84.057452 6.732587 0.091900 110.315762 3.534597 1.631026 0
26190 207.113377 36.738102 1.066602 91.780260 6.731101 -0.212856 -294.092886 6.076244 2.182812 0
80353 284.804222 53.267917 1.476903 101.629790 6.726833 0.140478 228.476076 4.050126 1.939427 1
10602 185.608169 -24.413952 1.217623 83.355172 6.723957 0.097324 115.269329 3.137192 1.806721 0
4567 177.268737 -4.959470 1.331086 82.164738 6.721017 0.056505 65.400848 2.701942 1.677258 0
14793 174.421784 37.195077 1.307288 89.340377 6.705505 -0.090215 -119.386704 6.857300 1.845715 0
26386 154.723879 21.209972 0.845987 80.627476 6.703067 -0.185615 -208.442135 7.736024 2.278360 0
118277 359.711921 -9.809073 0.894388 84.851266 6.693129 -0.176291 -214.823815 5.048188 2.297959 1
83879 64.650578 -58.252263 1.145679 98.460460 6.686754 -0.047459 -73.373213 4.467098 2.226001 0
3498 187.588491 -24.664645 1.663536 112.365358 6.685419 0.076220 145.573247 5.844006 1.992063 0
141938 345.219725 1.263294 2.008338 85.415208 6.672386 -0.043099 -53.078561 6.608126 1.358077 1
125470 0.750088 -43.596892 1.654690 99.925161 6.656865 -0.263332 -416.853242 6.539661 1.777230 0
111583 310.329974 -35.428858 1.941610 100.063333 6.649151 -0.113307 -179.760927 6.480710 1.621229 1
3363 152.162299 -2.444065 1.734111 87.136715 6.644686 -0.082908 -105.418411 5.961749 1.506918 1
53022 229.844143 79.507877 1.705339 97.185987 6.635508 -0.042868 -64.907425 2.016037 1.697501 0
55389 95.780038 -34.672589 1.967289 116.176342 6.634394 -0.090919 -183.165757 4.419943 1.868490 1
65363 270.214730 29.828709 0.899047 68.856503 6.628027 -0.117708 -102.687493 7.203567 1.857464 0
117070 30.774124 -48.555428 1.996479 100.113435 6.625422 0.044491 70.642057 4.314221 1.597004 0
26246 201.450764 -48.285314 1.304636 104.897189 6.621127 -0.068803 -117.714950 3.801230 2.170043 0
32003 124.258711 41.972927 1.887101 101.623712 6.595426 -0.215255 -350.061863 3.372381 1.673248 0
12868 149.795176 44.117493 2.091888 78.634310 6.591298 -0.003849 -4.152774 5.431398 1.222668 1
95405 14.805473 -50.858291 0.820446 60.621977 6.588077 -0.192725 -137.134200 8.181170 1.754130 0
1262 175.408929 -8.923029 1.742715 111.804931 6.587241 -0.155596 -294.806003 4.444956 1.927874 0
37899 191.759574 63.711250 1.198019 70.678663 6.584206 0.011992 10.907770 6.397521 1.549124 0
7414 169.035771 34.063935 1.611652 102.330216 6.573458 -0.275652 -453.281204 3.969005 1.849401 0
49973 257.646648 20.922759 1.115572 92.554829 6.567655 -0.096892 -135.683426 4.789637 2.132024 0
93494 303.935993 20.045661 0.870997 119.527890 6.566260 0.277241 584.532778 2.748934 3.302994 1
115855 337.798048 -18.252712 0.988587 95.767084 6.565638 -0.086453 -127.856774 5.459200 2.406776 0
130080 321.250570 -4.931094 1.660646 56.409927 6.559181 0.102869 65.230798 6.890582 1.001110 0
